Frame,minor groove,major groove,DNA backbone,DNA gap,histone tail,histone core,DNA-histone interface
1000,10,21,15,3,0,2,7
1010,10,22,14,4,0,2,4
1020,10,23,14,4,0,1,6
1030,8,22,15,5,0,0,8
1040,9,20,16,2,0,1,6
1050,8,20,16,4,0,1,8
1060,8,22,13,3,1,2,5
1070,8,21,19,5,0,1,6
1080,9,21,18,5,0,1,5
1090,9,22,15,3,0,1,7
1100,9,22,14,6,0,3,7
1110,8,23,15,5,0,3,6
1120,9,20,17,4,0,0,9
1130,11,18,17,3,0,0,7
1140,9,17,21,3,0,1,5
1150,9,19,20,4,0,1,4
1160,10,21,16,3,0,1,5
1170,9,19,16,3,1,1,7
1180,10,20,17,3,0,2,4
1190,10,20,19,3,0,1,5
1200,10,20,19,3,0,1,6
1210,12,19,18,4,0,1,6
1220,10,20,21,3,0,0,5
1230,11,20,18,3,0,0,6
1240,13,20,16,4,0,1,5
1250,12,18,18,4,0,0,7
1260,13,20,16,5,0,1,6
1270,13,20,14,3,0,0,7
1280,14,21,10,2,0,0,9
1290,15,23,12,2,0,0,7
1300,14,23,14,2,0,1,5
1310,14,22,13,1,0,0,6
1320,14,22,13,3,1,0,5
1330,14,21,14,3,1,1,4
1340,12,21,16,3,0,1,5
1350,13,22,13,3,0,0,6
1360,12,21,15,3,0,0,6
1370,12,21,14,2,0,0,7
1380,12,21,16,2,0,1,5
1390,12,21,15,2,0,0,7
1400,12,21,14,4,0,1,6
1410,12,22,13,4,1,2,6
1420,12,22,14,5,0,1,6
1430,12,22,13,5,0,1,6
1440,11,21,14,4,0,2,6
1450,11,22,15,5,0,1,6
1460,10,21,12,4,0,0,8
1470,10,21,17,3,0,1,5
1480,11,21,16,5,0,0,7
1490,11,21,15,6,0,0,6
1500,11,22,13,5,0,1,7
1510,12,21,15,4,0,0,6
1520,11,21,15,4,1,1,6
1530,12,20,14,4,0,1,6
1540,10,21,15,5,0,0,8
1550,12,22,13,2,0,1,6
1560,12,22,13,2,0,1,7
1570,10,22,14,2,0,1,7
1580,9,23,13,4,0,1,7
1590,9,22,12,3,0,2,6
1600,9,22,12,3,0,1,8
1610,10,21,10,3,0,1,10
1620,9,22,15,4,0,0,6
1630,10,20,14,2,0,2,7
1640,10,20,16,2,0,1,6
1650,10,20,12,2,1,1,8
1660,10,20,14,3,2,2,4
1670,10,23,9,3,1,0,7
1680,10,22,12,4,1,0,7
1690,10,20,14,3,0,1,6
1700,10,20,18,4,0,2,5
1710,11,21,13,2,0,1,7
1720,11,20,12,3,0,1,7
1730,9,20,16,5,1,1,7
1740,8,21,15,4,1,0,7
1750,9,23,15,3,0,2,4
1760,10,24,15,3,0,1,4
1770,11,24,10,2,0,1,6
1780,11,22,12,2,0,0,6
1790,9,22,16,4,0,1,5
1800,9,23,14,3,0,1,6
1810,8,23,14,3,0,1,7
1820,7,22,16,3,0,2,8
1830,8,20,17,2,0,2,8
1840,8,23,15,3,0,2,7
1850,8,24,14,2,0,2,7
1860,8,23,13,1,0,2,6
1870,8,26,14,2,0,3,4
1880,7,25,15,3,0,1,7
1890,6,26,13,3,0,2,5
1900,7,24,14,1,0,0,6
1910,8,23,15,3,0,3,5
1920,7,25,15,3,0,1,7
1930,7,21,13,2,0,3,8
1940,7,24,14,2,0,2,7
1950,8,23,11,5,0,2,9
1960,9,22,15,2,0,2,6
1970,9,23,13,3,0,2,6
1980,10,23,9,2,0,2,6
1990,10,25,9,3,0,3,6
2000,9,24,11,3,0,3,6
2010,9,23,12,3,0,1,8
2020,9,22,13,3,0,2,7
2030,9,20,16,4,1,1,6
2040,9,20,15,6,0,2,6
2050,7,22,13,7,0,2,7
2060,8,21,14,2,0,1,9
2070,7,21,13,5,0,0,9
2080,8,23,13,5,0,0,7
2090,8,24,15,6,0,0,6
2100,8,24,12,4,0,0,6
2110,8,24,12,4,0,0,6
2120,7,25,13,5,0,1,5
2130,7,24,14,5,0,1,5
2140,7,25,14,3,0,0,6
2150,4,20,19,4,0,1,5
2160,4,23,16,2,0,0,6
2170,4,22,18,2,0,0,6
2180,4,22,16,2,0,0,7
2190,5,23,14,2,0,0,7
2200,4,23,14,5,0,1,6
2210,5,23,15,4,0,1,7
2220,6,24,13,4,0,0,7
2230,6,22,16,5,0,0,8
2240,6,23,14,5,0,0,6
2250,6,21,16,5,0,0,6
2260,7,21,16,3,0,1,6
2270,8,22,13,5,0,1,6
2280,7,22,15,4,0,1,5
2290,7,21,16,5,0,1,6
2300,7,20,16,4,0,1,6
2310,7,21,17,4,0,0,6
2320,7,20,15,5,0,0,6
2330,6,22,15,4,0,0,5
2340,5,22,14,4,1,0,7
2350,5,22,16,3,1,0,6
2360,4,21,17,3,1,1,6
2370,5,21,18,3,0,0,6
2380,5,19,15,3,0,2,7
2390,7,19,13,3,0,1,8
2400,6,17,14,2,0,0,10
2410,7,17,13,3,1,1,10
2420,5,19,14,3,0,2,8
2430,6,19,14,4,0,2,7
2440,6,19,16,4,0,2,6
2450,5,18,19,5,0,1,7
2460,6,19,15,4,0,1,6
2470,6,19,17,4,0,1,6
2480,6,21,16,4,0,1,7
2490,5,22,15,4,0,2,5
2500,6,24,14,4,0,1,4
2510,7,24,12,3,0,0,6
2520,7,21,15,4,0,0,7
2530,8,22,16,2,0,0,5
2540,8,23,15,2,0,0,5
2550,7,23,16,4,0,0,5
2560,7,22,17,3,0,0,5
2570,7,22,12,3,0,1,6
2580,6,21,15,3,1,1,7
2590,5,21,20,2,0,0,6
2600,5,21,19,5,0,1,6
2610,6,23,15,5,0,1,5
2620,6,21,15,3,0,0,8
2630,3,21,19,3,0,1,4
2640,4,21,19,3,0,1,5
2650,7,20,16,4,1,1,7
2660,7,21,17,3,1,1,5
2670,8,21,15,5,0,0,5
2680,8,21,15,4,0,1,5
2690,8,19,16,5,0,1,6
2700,8,20,15,3,0,2,5
2710,7,21,16,4,0,1,5
2720,7,21,16,5,0,2,4
2730,8,21,14,4,0,1,4
2740,7,22,16,3,0,0,5
2750,8,20,15,2,0,1,6
2760,7,21,14,3,0,1,5
2770,7,19,15,5,0,1,6
2780,7,17,18,3,0,0,6
2790,7,19,19,4,0,1,4
2800,8,19,17,3,0,0,5
2810,8,17,17,3,0,1,5
2820,8,18,15,3,0,1,7
2830,8,17,17,4,1,1,6
2840,7,15,18,5,0,1,7
2850,6,19,16,2,0,1,5
2860,7,16,17,2,0,1,7
2870,8,18,14,3,0,1,6
2880,8,17,14,3,0,1,8
2890,8,17,15,5,0,1,7
2900,6,18,15,5,0,1,8
2910,7,18,17,3,0,1,5
2920,7,19,16,3,0,1,4
2930,7,18,17,5,0,1,4
2940,7,20,14,4,0,0,7
2950,6,20,12,2,1,0,8
2960,7,22,12,3,0,1,8
2970,8,20,14,3,0,1,8
2980,7,20,17,4,0,0,7
2990,8,21,13,3,0,1,7
3000,6,22,14,3,0,1,7
3010,5,20,18,3,0,1,7
3020,5,21,18,3,0,0,7
3030,5,21,16,3,0,2,6
3040,6,21,16,4,0,0,8
3050,6,21,17,4,0,0,7
3060,6,19,16,4,0,0,8
3070,6,20,16,4,0,0,8
3080,6,19,17,4,0,1,9
3090,6,20,17,3,0,1,8
3100,6,20,14,4,0,2,9
3110,6,22,14,4,0,2,8
3120,6,20,17,4,0,2,8
3130,5,21,15,4,0,1,11
3140,4,21,16,4,0,0,10
3150,6,22,15,4,0,1,8
3160,5,19,15,5,0,1,9
3170,6,21,15,4,0,1,7
3180,7,20,14,4,0,3,6
3190,7,20,15,4,0,2,6
3200,7,19,14,2,0,1,8
3210,7,20,15,3,1,1,7
3220,6,18,15,4,0,2,9
3230,7,17,13,5,0,2,11
3240,7,20,9,3,1,2,8
3250,7,18,11,4,0,1,11
3260,6,18,14,3,0,2,9
3270,6,21,12,2,0,2,9
3280,6,20,11,3,0,2,9
3290,6,21,15,3,0,2,7
3300,6,22,14,3,0,2,6
3310,7,21,13,3,0,1,8
3320,7,21,14,3,0,1,7
3330,7,20,12,3,0,1,8
3340,7,21,15,3,0,2,6
3350,7,21,15,3,0,2,7
3360,6,22,14,3,0,1,7
3370,6,22,12,2,0,1,10
3380,7,20,11,2,0,2,9
3390,7,21,11,2,0,2,8
3400,7,20,10,2,0,2,9
3410,7,21,13,3,0,2,7
3420,7,18,12,2,0,2,10
3430,8,19,10,2,0,1,11
3440,9,19,8,2,0,2,11
3450,7,20,8,2,0,2,12
3460,6,22,6,2,0,1,13
3470,7,21,9,2,0,1,12
3480,7,18,14,2,0,1,11
3490,7,20,14,2,0,1,10
3500,6,20,11,2,0,2,11
3510,5,19,13,2,0,2,10
3520,6,21,14,4,0,2,10
3530,6,19,14,2,1,2,9
3540,6,20,15,3,0,1,9
3550,6,20,12,3,0,1,12
3560,6,18,13,2,0,2,12
3570,7,19,11,2,0,1,13
3580,7,18,14,2,1,1,10
3590,7,19,13,2,0,1,11
3600,8,19,11,2,0,1,12
3610,8,19,10,2,0,1,13
3620,6,18,13,3,0,1,11
3630,9,18,12,2,0,1,11
3640,8,18,13,2,0,1,11
3650,8,17,17,4,0,1,9
3660,8,19,15,2,0,1,8
3670,9,18,13,4,0,1,11
3680,9,18,13,3,0,1,9
3690,8,19,12,2,0,2,9
3700,8,18,15,2,1,2,8
3710,8,17,16,2,0,2,9
3720,7,17,16,2,0,2,10
3730,6,17,17,2,1,1,8
3740,7,17,14,2,0,1,12
3750,7,17,15,2,0,2,9
3760,9,18,14,2,0,1,10
3770,9,18,11,2,0,1,12
3780,9,18,14,2,0,1,10
3790,9,17,13,2,0,2,11
3800,9,18,13,2,0,3,10
3810,9,19,17,3,0,2,6
3820,9,18,11,2,0,2,10
3830,9,19,14,2,0,1,8
3840,8,21,11,2,0,2,9
3850,8,20,14,4,0,2,8
3860,9,20,12,4,0,2,7
3870,8,21,13,3,1,1,9
3880,8,20,17,4,0,1,6
3890,8,18,15,3,0,1,10
3900,9,19,16,4,0,1,9
3910,8,18,18,4,0,1,9
3920,10,18,15,3,1,2,6
3930,9,19,14,3,0,2,8
3940,9,19,18,4,0,3,5
3950,7,18,19,3,0,1,7
3960,6,19,17,4,0,1,10
3970,5,21,16,4,0,1,10
3980,5,21,18,4,1,1,7
3990,6,20,15,5,0,2,8
4000,7,19,14,4,1,3,7
4010,7,17,17,4,0,2,9
4020,5,19,17,3,0,2,9
4030,7,17,15,2,0,1,11
4040,5,17,19,2,0,3,6
4050,8,17,16,2,0,3,7
4060,8,17,16,2,0,3,8
4070,8,17,15,3,0,3,10
4080,8,18,16,3,0,3,7
4090,7,19,17,3,1,4,5
4100,8,19,13,3,1,3,9
4110,8,18,16,3,0,2,8
4120,6,18,14,3,0,2,10
4130,7,16,15,4,0,2,10
4140,7,17,13,3,1,2,10
4150,7,17,14,3,2,3,7
4160,6,18,16,3,1,1,9
4170,4,19,18,4,1,2,9
4180,6,19,18,3,0,3,6
4190,7,21,13,3,0,4,6
4200,8,19,15,3,0,4,4
4210,7,17,11,3,0,3,10
4220,7,17,12,4,0,2,10
4230,6,17,15,4,0,3,10
4240,5,19,16,4,1,4,6
4250,5,18,17,3,0,4,6
4260,5,19,15,4,0,4,9
4270,4,18,15,3,0,4,10
4280,5,19,15,2,1,3,8
4290,5,20,16,2,0,4,7
4300,5,19,15,3,1,5,6
4310,6,19,13,3,1,6,7
4320,6,19,11,2,1,4,11
4330,4,19,13,2,1,4,11
4340,4,19,16,3,0,4,9
4350,4,20,14,3,0,3,11
4360,4,20,14,2,0,4,10
4370,4,21,13,2,0,3,9
4380,4,20,13,3,1,3,11
4390,5,19,14,2,0,4,9
4400,4,20,12,2,0,4,9
4410,3,19,14,2,0,4,9
4420,4,20,16,3,1,4,8
4430,5,21,12,3,1,2,10
4440,5,20,17,3,0,2,9
4450,4,20,15,3,0,3,9
4460,3,20,12,4,0,3,11
4470,4,21,14,3,0,3,10
4480,4,23,13,4,0,2,10
4490,4,21,17,4,0,2,8
4500,4,21,15,4,0,4,6
4510,3,21,15,3,1,3,7
4520,4,20,15,4,0,2,10
4530,4,22,13,4,0,3,9
4540,4,22,15,4,0,2,8
4550,4,22,15,4,0,3,7
4560,5,21,14,2,0,2,9
4570,4,21,16,3,0,3,8
4580,4,22,14,4,0,2,9
4590,4,21,15,3,0,2,10
4600,4,23,14,3,0,3,7
4610,6,21,15,3,0,2,8
4620,5,21,13,3,1,3,7
4630,5,18,14,3,0,3,12
4640,5,19,18,2,0,3,8
4650,6,19,15,3,0,2,10
4660,5,16,17,3,0,1,12
4670,4,19,16,4,0,3,12
4680,6,18,14,3,0,3,11
4690,5,19,13,3,1,1,12
4700,4,20,15,2,0,1,11
4710,5,20,15,2,0,2,9
4720,4,19,15,3,1,3,10
4730,5,19,13,3,0,4,9
4740,5,18,12,3,0,4,10
4750,5,20,14,3,0,3,6
4760,6,21,12,3,0,4,6
4770,6,18,16,2,1,4,7
4780,6,18,16,2,0,5,7
4790,6,18,14,2,0,4,9
4800,6,20,12,2,1,5,6
4810,6,18,13,2,0,6,8
4820,4,18,15,3,0,5,10
4830,5,21,14,2,0,4,8
4840,3,22,12,2,0,4,9
4850,5,20,15,2,0,4,8
4860,5,19,14,2,1,4,9
4870,4,20,16,2,0,4,8
4880,4,20,17,2,0,4,8
4890,4,18,16,2,0,3,11
4900,6,23,16,3,0,5,4
4910,5,19,16,3,0,4,8
4920,6,20,17,3,0,4,6
4930,5,18,15,3,0,4,9
4940,4,16,17,3,0,4,9
4950,2,18,18,2,0,4,8
4960,4,17,19,4,0,4,7
4970,4,16,17,3,0,5,6
4980,4,17,18,4,0,3,8
4990,4,16,15,4,0,4,10
